"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameDateAPITransferComparator record1Value","[0] PlayerNameDateAPITransferComparator record2Value","[0] PlayerNameDateAPITransferComparator record1PreprocessedValue","[0] PlayerNameDateAPITransferComparator record2PreprocessedValue","[0] PlayerNameDateAPITransferComparator similarity","[0] PlayerNameDateAPITransferComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","3002750","4003298","0.12142857142857147",,"Thorgan Hazard","Tim Hölscher","thorgan hazard","tim holscher","0.1428571428571429","0.12142857142857147"
"LinearCombinationMatchingRule","3007215","4010192","0.20000000000000004",,"Alexandre Olliero","Abdelhamid Sabiri","alexandre olliero","abdelhamid sabiri","0.23529411764705888","0.20000000000000004"
"LinearCombinationMatchingRule","3002375","4007662","0.265625",,"Javi Garc&#237;a","Jaba Kankava","javi garc&#237;a","jaba kankava","0.3125","0.265625"
"LinearCombinationMatchingRule","3001131","4005695","0.23181818181818178",,"Joe Hart","Javi Guerra","joe hart","javi guerra","0.2727272727272727","0.23181818181818178"
"LinearCombinationMatchingRule","3007174","4004834","0.34",,"Jorge Carrascal","José Callejón","jorge carrascal","jose callejon","0.4","0.34"
"LinearCombinationMatchingRule","3008199","4002932","0.18214285714285716",,"Mikhail Oparin","Maksim Belyaev","mikhail oparin","maksim belyaev","0.2142857142857143","0.18214285714285716"
"LinearCombinationMatchingRule","3006065","4001099","0.20000000000000004",,"Amine Adli","Abdisalam Ibrahim","amine adli","abdisalam ibrahim","0.23529411764705888","0.20000000000000004"
"LinearCombinationMatchingRule","3004426","4009987","0.5423076923076923",,"Omer Hanin","Omar Richards","omer hanin","omar richards","0.46153846153846156","0.5423076923076923"
"LinearCombinationMatchingRule","3004657","4004328","0.371875",,"Marco Terrazzino","Marco Rojas","marco terrazzino","marco rojas","0.4375","0.371875"
"LinearCombinationMatchingRule","3002869","4011842","0.28076923076923077",,"Esteban Rolon","Erik","esteban rolon","erik","0.15384615384615385","0.28076923076923077"
"LinearCombinationMatchingRule","3005302","4006170","0.20000000000000004",,"Michel Morganella","Maxime Spano","michel morganella","maxime spano","0.23529411764705888","0.20000000000000004"
"LinearCombinationMatchingRule","3002670","4008404","0.12142857142857147",,"Aissa Mandi","Andrey Bochkov","aissa mandi","andrey bochkov","0.1428571428571429","0.12142857142857147"
"LinearCombinationMatchingRule","3007508","4007076","0.2125",,"Bryan Smeets","Borja Ekiza","bryan smeets","borja ekiza","0.25","0.2125"
"LinearCombinationMatchingRule","3008915","4008740","0.2125",,"Gyasi Zardes","Gordon Greer","gyasi zardes","gordon greer","0.25","0.2125"
