"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameFIFAESDComparatorJaccard record1Value","[0] PlayerNameFIFAESDComparatorJaccard record2Value","[0] PlayerNameFIFAESDComparatorJaccard record1PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard record2PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard similarity","[0] PlayerNameFIFAESDComparatorJaccard postproccesedSimilarity","[1] HeightFIFAESDAbsoluteDifferences record1Value","[1] HeightFIFAESDAbsoluteDifferences record2Value","[1] HeightFIFAESDAbsoluteDifferences record1PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences record2PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences similarity","[1] HeightFIFAESDAbsoluteDifferences postproccesedSimilarity","[2] DateFIFAESDComparator2Year record1Value","[2] DateFIFAESDComparator2Year record2Value","[2] DateFIFAESDComparator2Year record1PreprocessedValue","[2] DateFIFAESDComparator2Year record2PreprocessedValue","[2] DateFIFAESDComparator2Year similarity","[2] DateFIFAESDComparator2Year postproccesedSimilarity"
"LinearCombinationMatchingRule","16921","2004748","0.125",,"K. Ichimi","Kevin van Diermen","k ichimi","k van diermen","0.25","0.25","180.33999633789062","190.5","180.33999633789062","190.5","0.0","0.0","1999-01-01T00:00","1989-07-03T00:00","1999-01-01T00:00","1989-07-03T00:00","0.0","0.0"
"LinearCombinationMatchingRule","16271","2007604","0.16666666666666666",,"R. Kim","Ruben Amorim","r kim","r amorim","0.3333333333333333","0.3333333333333333","190.5","180.33999633789062","190.5","180.33999633789062","0.0","0.0","1998-01-01T00:00","1985-01-27T00:00","1998-01-01T00:00","1985-01-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","4978","2001209","0.16666666666666666",,"B. Myhill","Bruno Nazario","b myhill","b nazario","0.3333333333333333","0.3333333333333333","190.5","177.8000030517578","190.5","177.8000030517578","0.0","0.0","1984-01-01T00:00","1995-02-09T00:00","1984-01-01T00:00","1995-02-09T00:00","0.0","0.0"
"LinearCombinationMatchingRule","15871","2001786","0.16666666666666666",,"D. Mosquera","Daniel Royer","d mosquera","d royer","0.3333333333333333","0.3333333333333333","190.5","177.8000030517578","190.5","177.8000030517578","0.0","0.0","1997-01-01T00:00","1990-05-22T00:00","1997-01-01T00:00","1990-05-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","8456","2004016","0.16666666666666666",,"J. Schoop","Jhon Cordoba","j schoop","j cordoba","0.3333333333333333","0.3333333333333333","175.25999450683594","185.4199981689453","175.25999450683594","185.4199981689453","0.0","0.0","1990-01-01T00:00","1993-05-11T00:00","1990-01-01T00:00","1993-05-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","13028","2000875","0.1706252098083496",,"Ander Cantero","Assani Lukimya-Mulongoti","ander cantero","assani lukimya-mulongoti","0.0","0.0","187.9600067138672","190.5","187.9600067138672","190.5","0.6825008392333984","0.6825008392333984","1996-01-01T00:00","1986-01-25T00:00","1996-01-01T00:00","1986-01-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1084","2001314","0.0",,"Cédric","Carlos Reina Aranda","cedric","carlos reina aranda","0.0","0.0","172.72000122070312","185.4199981689453","172.72000122070312","185.4199981689453","0.0","0.0","1993-01-01T00:00","1980-07-27T00:00","1993-01-01T00:00","1980-07-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","11390","2005638","0.41666666666666663",,"M. Okugawa","Mark Bresciano","m okugawa","m bresciano","0.3333333333333333","0.3333333333333333","175.25999450683594","175.25999450683594","175.25999450683594","175.25999450683594","1.0","1.0","1997-01-01T00:00","1980-02-11T00:00","1997-01-01T00:00","1980-02-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","15782","2005486","0.46229187647501624",,"M. Vano","Marcis Oss","m vano","m oss","0.3333333333333333","0.3333333333333333","190.5","193.0399932861328","190.5","193.0399932861328","0.6825008392333984","0.6825008392333984","1993-01-01T00:00","1991-07-25T00:00","1993-01-01T00:00","1991-07-25T00:00","0.5","0.5"
"LinearCombinationMatchingRule","4279","2005389","0.125",,"M. Pereira Lage","Manuel Lanzini","m pereira lage","m lanzini","0.25","0.25","180.33999633789062","170.17999267578125","180.33999633789062","170.17999267578125","0.0","0.0","1998-01-01T00:00","1993-02-15T00:00","1998-01-01T00:00","1993-02-15T00:00","0.0","0.0"
"LinearCombinationMatchingRule","376","2002518","0.17854181925455728",,"E. Salvio","Enzo Maresca","e salvio","e maresca","0.3333333333333333","0.3333333333333333","172.72000122070312","180.33999633789062","172.72000122070312","180.33999633789062","0.0475006103515625","0.0475006103515625","1992-01-01T00:00","1980-02-10T00:00","1992-01-01T00:00","1980-02-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","9614","2002028","0.22916666666666666",,"D. Lowe","Davide Mariani","d lowe","d mariani","0.3333333333333333","0.3333333333333333","190.5","175.25999450683594","190.5","175.25999450683594","0.0","0.0","1994-01-01T00:00","1991-05-19T00:00","1994-01-01T00:00","1991-05-19T00:00","0.25","0.25"
"LinearCombinationMatchingRule","7337","2000123","0.25791660944620765",,"A. Taggart","Adamo Coulibaly","a taggart","a coulibaly","0.3333333333333333","0.3333333333333333","182.8800048828125","187.9600067138672","182.8800048828125","187.9600067138672","0.36499977111816406","0.36499977111816406","1994-01-01T00:00","1981-08-14T00:00","1994-01-01T00:00","1981-08-14T00:00","0.0","0.0"
