"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameFIFAESDComparatorLevenshtein record1Value","[0] PlayerNameFIFAESDComparatorLevenshtein record2Value","[0] PlayerNameFIFAESDComparatorLevenshtein record1PreprocessedValue","[0] PlayerNameFIFAESDComparatorLevenshtein record2PreprocessedValue","[0] PlayerNameFIFAESDComparatorLevenshtein similarity","[0] PlayerNameFIFAESDComparatorLevenshtein postproccesedSimilarity","[1] PlayerNameFIFAESDComparatorJaccard record1Value","[1] PlayerNameFIFAESDComparatorJaccard record2Value","[1] PlayerNameFIFAESDComparatorJaccard record1PreprocessedValue","[1] PlayerNameFIFAESDComparatorJaccard record2PreprocessedValue","[1] PlayerNameFIFAESDComparatorJaccard similarity","[1] PlayerNameFIFAESDComparatorJaccard postproccesedSimilarity","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record1Value","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record2Value","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record1PreprocessedValue","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record2PreprocessedValue","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance similarity","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance postproccesedSimilarity","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record1Value","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record2Value","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record1PreprocessedValue","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record2PreprocessedValue","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment similarity","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment postproccesedSimilarity","[4] DateFIFAESDComparator2Year record1Value","[4] DateFIFAESDComparator2Year record2Value","[4] DateFIFAESDComparator2Year record1PreprocessedValue","[4] DateFIFAESDComparator2Year record2PreprocessedValue","[4] DateFIFAESDComparator2Year similarity","[4] DateFIFAESDComparator2Year postproccesedSimilarity","[5] HeightFIFAESDAbsoluteDifferences record1Value","[5] HeightFIFAESDAbsoluteDifferences record2Value","[5] HeightFIFAESDAbsoluteDifferences record1PreprocessedValue","[5] HeightFIFAESDAbsoluteDifferences record2PreprocessedValue","[5] HeightFIFAESDAbsoluteDifferences similarity","[5] HeightFIFAESDAbsoluteDifferences postproccesedSimilarity"
"WekaMatchingRule","17810","2003877",,"0","L. Simpson","Jay Simpson","l simpson","j simpson","0.8888888888888888","0.8888888888888888","L. Simpson","Jay Simpson","l simpson","j simpson","0.3333333333333333","0.3333333333333333","L. Simpson","Jay Simpson","l simpson","j simpson","1.0","1.0","L. Simpson","Jay Simpson","l simpson","j simpson","0.5","0.5","1996-01-01T00:00","1988-12-01T00:00","1996-01-01T00:00","1988-12-01T00:00","0.0","0.0","0.0","180.33999633789062","0.0","180.33999633789062","0.0","0.0"
"WekaMatchingRule","16921","2004748","0.14",,"K. Ichimi","Kevin van Diermen","k ichimi","k van diermen","0.3076923076923077","0.3076923076923077","K. Ichimi","Kevin van Diermen","k ichimi","k van diermen","0.25","0.25","K. Ichimi","Kevin van Diermen","k ichimi","k van diermen","9.0","9.0","K. Ichimi","Kevin van Diermen","k ichimi","k van diermen","0.5","0.5","1999-01-01T00:00","1989-07-03T00:00","1999-01-01T00:00","1989-07-03T00:00","0.0","0.0","0.0","190.5","0.0","190.5","0.0","0.0"
"WekaMatchingRule","16271","2007604","0.0",,"R. Kim","Ruben Amorim","r kim","r amorim","0.5","0.5","R. Kim","Ruben Amorim","r kim","r amorim","0.3333333333333333","0.3333333333333333","R. Kim","Ruben Amorim","r kim","r amorim","4.0","4.0","R. Kim","Ruben Amorim","r kim","r amorim","0.5","0.5","1998-01-01T00:00","1985-01-27T00:00","1998-01-01T00:00","1985-01-27T00:00","0.0","0.0","0.0","180.33999633789062","0.0","180.33999633789062","0.0","0.0"
"WekaMatchingRule","10910","2007427",,"0","C. McHugh","Robert McHugh","c mchugh","r mchugh","0.875","0.875","C. McHugh","Robert McHugh","c mchugh","r mchugh","0.3333333333333333","0.3333333333333333","C. McHugh","Robert McHugh","c mchugh","r mchugh","1.0","1.0","C. McHugh","Robert McHugh","c mchugh","r mchugh","0.5","0.5","1994-01-01T00:00","1991-07-16T00:00","1994-01-01T00:00","1991-07-16T00:00","0.25","0.25","0.0","177.8000030517578","0.0","177.8000030517578","0.0","0.0"
"WekaMatchingRule","8456","2004016","0.45933333333333337",,"J. Schoop","Jhon Cordoba","j schoop","j cordoba","0.33333333333333337","0.33333333333333337","J. Schoop","Jhon Cordoba","j schoop","j cordoba","0.3333333333333333","0.3333333333333333","J. Schoop","Jhon Cordoba","j schoop","j cordoba","6.0","6.0","J. Schoop","Jhon Cordoba","j schoop","j cordoba","0.5","0.5","1990-01-01T00:00","1993-05-11T00:00","1990-01-01T00:00","1993-05-11T00:00","0.0","0.0","0.0","185.4199981689453","0.0","185.4199981689453","0.0","0.0"
"WekaMatchingRule","1937","2001851",,"0","K. Fofana","Danny Verbeek","k fofana","d verbeek","0.11111111111111116","0.11111111111111116","K. Fofana","Danny Verbeek","k fofana","d verbeek","0.0","0.0","K. Fofana","Danny Verbeek","k fofana","d verbeek","8.0","8.0","K. Fofana","Danny Verbeek","k fofana","d verbeek","0.0","0.0","1993-01-01T00:00","1990-08-15T00:00","1993-01-01T00:00","1990-08-15T00:00","0.25","0.25","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","11741","2000736","0.8937021581263721","1","A. Rabillard","Antoine Rabillard","a rabillard","a rabillard","1.0","1.0","A. Rabillard","Antoine Rabillard","a rabillard","a rabillard","1.0","1.0","A. Rabillard","Antoine Rabillard","a rabillard","a rabillard","0.0","0.0","A. Rabillard","Antoine Rabillard","a rabillard","a rabillard","1.0","1.0","1997-01-01T00:00","1995-09-22T00:00","1997-01-01T00:00","1995-09-22T00:00","0.5","0.5","0.0","177.8000030517578","0.0","177.8000030517578","0.0","0.0"
"WekaMatchingRule","1084","2001314","0.0",,"Cédric","Carlos Reina Aranda","cedric","carlos reina aranda","0.1578947368421053","0.1578947368421053","Cédric","Carlos Reina Aranda","cedric","carlos reina aranda","0.0","0.0","Cédric","Carlos Reina Aranda","cedric","carlos reina aranda","16.0","16.0","Cédric","Carlos Reina Aranda","cedric","carlos reina aranda","0.0","0.0","1993-01-01T00:00","1980-07-27T00:00","1993-01-01T00:00","1980-07-27T00:00","0.0","0.0","0.0","185.4199981689453","0.0","185.4199981689453","0.0","0.0"
"WekaMatchingRule","376","2002518","0.45933333333333337",,"E. Salvio","Enzo Maresca","e salvio","e maresca","0.33333333333333337","0.33333333333333337","E. Salvio","Enzo Maresca","e salvio","e maresca","0.3333333333333333","0.3333333333333333","E. Salvio","Enzo Maresca","e salvio","e maresca","6.0","6.0","E. Salvio","Enzo Maresca","e salvio","e maresca","0.5","0.5","1992-01-01T00:00","1980-02-10T00:00","1992-01-01T00:00","1980-02-10T00:00","0.0","0.0","0.0","180.33999633789062","0.0","180.33999633789062","0.0","0.0"
"WekaMatchingRule","2","2001652","0.9067940033383189","1","Cristiano Ronaldo","Cristiano Ronaldo","cristiano ronaldo","cristiano ronaldo","1.0","1.0","Cristiano Ronaldo","Cristiano Ronaldo","cristiano ronaldo","cristiano ronaldo","1.0","1.0","Cristiano Ronaldo","Cristiano Ronaldo","cristiano ronaldo","cristiano ronaldo","0.0","0.0","Cristiano Ronaldo","Cristiano Ronaldo","cristiano ronaldo","cristiano ronaldo","1.0","1.0","1986-01-01T00:00","1985-02-05T00:00","1986-01-01T00:00","1985-02-05T00:00","0.75","0.75","0.0","185.4199981689453","0.0","185.4199981689453","0.0","0.0"
"WekaMatchingRule","9731","2006438","0.9067940033383189","1","Nelson Ferreira","Nelson Ferreira","nelson ferreira","nelson ferreira","1.0","1.0","Nelson Ferreira","Nelson Ferreira","nelson ferreira","nelson ferreira","1.0","1.0","Nelson Ferreira","Nelson Ferreira","nelson ferreira","nelson ferreira","0.0","0.0","Nelson Ferreira","Nelson Ferreira","nelson ferreira","nelson ferreira","1.0","1.0","1983-01-01T00:00","1982-05-26T00:00","1983-01-01T00:00","1982-05-26T00:00","0.75","0.75","0.0","175.25999450683594","0.0","175.25999450683594","0.0","0.0"
"WekaMatchingRule","10809","2009062",,"0","Yang Zhi","Zhi Zheng","yang zhi","zhi zheng","0.2222222222222222","0.2222222222222222","Yang Zhi","Zhi Zheng","yang zhi","zhi zheng","0.3333333333333333","0.3333333333333333","Yang Zhi","Zhi Zheng","yang zhi","zhi zheng","7.0","7.0","Yang Zhi","Zhi Zheng","yang zhi","zhi zheng","0.5","0.5","1984-01-01T00:00","1980-08-20T00:00","1984-01-01T00:00","1980-08-20T00:00","0.0","0.0","0.0","180.33999633789062","0.0","180.33999633789062","0.0","0.0"
"WekaMatchingRule","9639","2006670","0.9067940033383189","1","O. Bozanic","Oliver Bozanic","o bozanic","o bozanic","1.0","1.0","O. Bozanic","Oliver Bozanic","o bozanic","o bozanic","1.0","1.0","O. Bozanic","Oliver Bozanic","o bozanic","o bozanic","0.0","0.0","O. Bozanic","Oliver Bozanic","o bozanic","o bozanic","1.0","1.0","1990-01-01T00:00","1989-01-08T00:00","1990-01-01T00:00","1989-01-08T00:00","0.75","0.75","0.0","177.8000030517578","0.0","177.8000030517578","0.0","0.0"
"WekaMatchingRule","7","2005246","0.8937021581263721","1","L. Modrić","Luka Modric","l modric","l modric","1.0","1.0","L. Modrić","Luka Modric","l modric","l modric","1.0","1.0","L. Modrić","Luka Modric","l modric","l modric","0.0","0.0","L. Modrić","Luka Modric","l modric","l modric","1.0","1.0","1987-01-01T00:00","1985-09-09T00:00","1987-01-01T00:00","1985-09-09T00:00","0.5","0.5","0.0","175.25999450683594","0.0","175.25999450683594","0.0","0.0"
